S.No,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62
,ID_REF,GSM877126,GSM877127,GSM877128,GSM877129,GSM877130,GSM877131,GSM877132,GSM877133,GSM877134,GSM877135,GSM877136,GSM877137,GSM877138,GSM877139,GSM877140,GSM877141,GSM877142,GSM877143,GSM877144,GSM877145,GSM877146,GSM877147,GSM877148,GSM877149,GSM877150,GSM877151,GSM877152,GSM877153,GSM877154,GSM877155,GSM877156,GSM877157,GSM877158,GSM877159,GSM877160,GSM877161,GSM877162,GSM877163,GSM877164,GSM877165,GSM877166,GSM877167,GSM877168,GSM877169,GSM877170,GSM877171,GSM877173,GSM877174,GSM877175,GSM877176,GSM877177,GSM877178,GSM877179,GSM877180,GSM877181,GSM877182,GSM877183,GSM877184,GSM877185,GSM877186,GSM877187,GSM877188
9,1431_at,3.748199732,3.1143395160000003,4.172269782,3.6254127819999997,3.3383105239999997,3.502789673,3.3913759619999997,3.3795166030000003,3.349103144,3.4520528969999997,3.279839051,3.586600895,3.3088400669999998,3.32989823,4.7580898760000006,3.710753742,3.419892155,3.476634044,3.416976625,3.2212783239999996,3.3058087339999997,3.451668945,3.290177147,3.356050362,3.2889308930000003,3.215769617,3.3993388789999996,3.418024603,3.560198979,3.260471425,3.315586358,3.6355339669999998,3.362652078,4.391883588,3.3096062010000002,3.408080918,4.080033824,3.2948184260000004,3.461172004,3.327047332,3.3760697189999997,3.56752368,3.9216065010000003,3.377165513,3.207520761,3.40941523,3.414836451,3.569752933,3.420608418,3.1611104880000003,3.549940382,3.417822316,3.221387622,3.696020067,3.271604356,3.466989351,3.379104017,3.161022547,3.3924709639999997,3.381973649,3.222998371,3.243737854
10,1438_at,6.957488011000001,7.366494466,9.190242438,7.493740725,6.068710255,6.700964971,5.2025404260000006,8.642057388,7.496296719,8.91709006,7.936088236,7.928265429,7.604331336,8.563614745,6.345432949,7.997792676,5.05398707,6.992055399,6.422653163,6.946986324,6.858216082,4.707355799,6.458426455,7.903929163,8.154682328,8.333824436,8.50180708,5.845527419,7.694217204,6.160706881,6.368561623,6.75867493,5.120424575,5.169935955,7.671280232000001,7.006718247999999,7.666576492000001,7.076335014,7.263275594,5.519454418,7.06837516,8.827209169,7.442277801,7.660930037999999,5.75327494,8.631392089,7.709866718,7.498466956000001,6.846713287999999,8.419511926,8.217370935,6.481211407000001,5.462382066,7.871595642000001,6.262501447000001,5.876683585,7.792371311,6.052478405,6.926154492,6.081336335,7.979069921000001,7.859645305
11,1487_at,8.057704172000001,8.450329045,8.186155397,7.398234517000001,7.919003527,7.6088523729999995,7.829562926,8.660196177000001,8.095995471,8.392671152,8.422215728,8.608507815,8.612678043999999,8.40500183,8.867434684,8.279107575,7.1228454160000005,8.514667635,7.890758053,7.488556541,8.502027495,7.873091657000001,8.303653075,8.007889277,8.81064307,8.663076695,8.483515808,8.103230692,7.8395802539999995,7.352604852000001,8.22996197,8.925871205,7.310310422000001,8.219251651,8.67369734,8.748279802,7.840970511,8.716758384,8.173818512999999,7.892024572,8.25858882,8.24275759,8.442920086,8.680658648,8.385491373999999,8.509745287000001,8.514935728,8.959289014,8.837433277999999,7.760497171,8.171875421000001,8.193017613,7.586019027000001,8.657501169,8.088265516,7.597552447999999,8.182769163,8.063332602000001,8.081780417000001,7.960782912999999,8.133529987000001,8.533891637
12,1494_f_at,4.311959755,4.257666081,4.39061158,4.308245061,4.188542517,4.465111534,4.651730706,4.517126783,4.391842235,4.2943092819999995,4.466246658999999,4.201323042,4.354458935,4.603824826,4.877811919,4.333563391,4.190598253,4.534537677,4.547721915,4.5707518,4.491522465,4.6248715339999995,4.659383643,4.35738624,4.467135311,4.450889543,4.649362765,4.458698055,4.316007555,4.194841084,4.318731337,4.757751379,4.217026209,4.297255089,4.4881524719999994,5.161283833,4.424798991,4.5354308439999995,4.5323706889999995,4.370987347,4.337713137,4.522462141,4.404519229,4.549887057,4.479794035,4.70413998,4.230266115,4.4381035230000005,4.503761626,4.496165227,4.543385045,4.400224438,4.799403446,4.669546194,4.61746874,4.669293558,4.319673539,4.534603522,4.07318142,4.044225892,4.674288857,4.434959767
13,1552256_a_at,7.2461978,8.113612708,7.038909227,7.547752989,7.921648469,7.8047101560000005,8.289746167999999,8.379386044,8.828803508,8.104413507,8.62743508,8.808424385,7.810723394,7.311558927999999,7.962899845,7.567631078,6.627852773,8.32275233,8.541741802,8.134692881,8.445746264,7.44108475,8.200757785,7.592273509,8.254200582000001,7.886093196,8.618273583999999,7.197427593,8.611593515,7.972474057,8.28175381,7.6986978189999995,7.216847427,7.2293753370000005,8.36398904,8.274581156,7.7732032460000005,7.915793609,8.930197582,7.5375136,8.422382075,8.696572887,8.548455972000001,8.118815052,8.255894239,7.274191487,7.914000641,7.8464468620000005,8.20226085,7.5876426420000005,8.056950635,8.225285051,7.054281072999999,8.593192977000001,8.233625818,8.928513432,8.581313846,8.242522327,7.4017474960000005,7.218739122000001,8.025717362,8.254966515
14,1552257_a_at,8.99801168,9.154565512000001,8.273924946000001,9.075828895,7.992741268,8.477863341,8.266583417,9.089091908,8.788511663,8.376204179,9.450079478,8.724399229,8.780074154,8.697718517,9.087392998,9.180540978,7.292795852999999,8.490358665,8.61227281,8.152089339,8.596264307,6.584291922999999,8.595434761,8.92164259,8.911025449,9.008001818,8.033489512000001,8.52652033,9.264850927000001,8.782740866000001,8.647841932999999,8.37116397,7.971530192,9.048222473,8.985174082999999,9.157779241,8.770569784,8.684370783,9.22221773,8.5071834,8.838345408,8.348514957999999,8.194465015,8.992777675,9.08058714,8.864631512,8.417001942999999,9.26156961,9.512933503,8.420990904,8.936589021,9.867837611,8.668385457000001,8.524805366,8.529729787,7.966087162000001,9.000107324,9.106361961000001,8.272418122000001,8.472297455,9.137002161,9.000236746
15,1552258_at,3.912720161,4.223798982,3.988331533,3.885780105,4.960632929,4.04496382,4.050534113,4.09920269,4.129284371000001,3.921131007,4.705934666,4.372757078999999,4.010301201,4.302968396,4.405125515,4.205232223,4.554101147,4.379060943,4.086150735,4.245522043999999,4.456627481,4.590643561,4.495550739,4.369829318,4.326926006,4.183232984,4.210596633,4.370041099999999,4.225953203,4.765924309,4.045490779,4.35848089,4.246212743,4.277739319,4.126964698,3.8172811280000003,4.833013533,4.066251076,3.8158655319999997,4.043504027,4.082848244,4.100032465,4.722575307,4.11264655,3.8782289139999997,4.453690492,3.934444847,4.045015395,4.4515256160000005,4.042018812,4.439565536,4.345159975,4.1454361639999995,4.24645942,4.145366841,4.340382672,4.188767415,4.327475747,4.008253823,3.486721264,4.540306376,4.180793213
16,1552261_at,4.206709087,3.359484183,3.4347578710000004,4.22529389,3.391169444,3.647453004,3.328320179,3.395413083,3.105682359,3.2990192919999997,3.371519251,3.2876480210000003,3.351286987,3.681267485,3.3690565660000003,3.613559122,3.529626268,3.4303539310000004,3.6359124169999997,3.3221999330000003,3.337639135,3.3939307260000002,3.4176575839999996,3.462703189,3.45698302,3.19295198,3.619769832,3.563814683,3.6572508710000005,3.327744818,3.419751625,3.3805946430000002,3.656949535,3.296792562,3.457891309,3.3539431810000004,3.072967232,3.354555455,3.613559122,3.3123173410000004,3.2705764810000004,3.6999339260000004,3.3688231710000003,3.2632079469999997,3.5135235789999997,3.4435466839999997,2.9717641969999997,3.630360646,3.3662665869999997,3.4176575839999996,3.470599987,4.19184225,3.52132075,3.512984585,3.161242432,3.0507352639999996,3.718228981,3.372130921,2.912312004,4.04254917,3.1720131730000003,3.2599966730000003
17,1552263_at,6.2937660520000005,7.78168018,5.245886096,5.958728367000001,6.249176912,6.81814574,5.933074326,7.090169019,5.857142065,6.08298778,6.932319783,5.92847174,7.418139591,5.992391225,6.706416474,6.190750461,6.458071556,6.230652152999999,7.199911892,5.697967159,5.879074144,6.597968286,6.037832619,7.100426637000001,6.11585219,6.3262625429999995,6.159257847999999,6.165501252,6.56202866,6.696416545,6.358841807,5.009030514,6.399483341,6.855480084,6.500785971,5.532045039,6.948467657,6.3096572470000005,6.494414492000001,6.116870556,5.8934821710000005,6.293015989,5.863724304,6.262202179,6.092099941,5.906357135,5.792756676000001,6.370694511,6.186894613,6.288110013,6.523347444,6.65523894,6.139288226000001,5.930345708,6.374393723,5.327292213,6.328346231,6.273342647000001,6.194941448,5.501083277999999,5.99636903,6.154375052000001
18,1552264_a_at,6.58563544,8.131629084,6.081574147,6.779613283,6.517431421,7.012426444,6.3697795610000005,7.5845372079999995,6.406856681,6.793381647,7.071654362,6.466865857,7.595953139,6.8083660560000006,7.303791382000001,6.837621196000001,7.033968695,6.799879001,7.548728156,6.290418387000001,6.490117757,7.021678336,6.669658807,7.288974317,6.912733127,6.571106712000001,6.689799229,7.086897575,7.049215171,7.164600397999999,6.789206905,5.947938852999999,6.773951107999999,7.1812181189999995,7.239251929,6.354354379,7.524750488,6.569127214,7.1624125670000005,6.525357756,6.322051924,6.518198905,6.583595227000001,6.874167006,6.83312944,6.490947356,6.537608297999999,6.6525048479999995,6.857042452000001,6.782065071,6.929491757,7.312675246,6.3927835360000005,6.482737988999999,6.667351909,5.87533043,7.038632649,6.778036795,6.54327057,6.322888058999999,6.3673824770000005,6.172391027000001
